# Narayanan et al. (2018) median dust attenuation curves at z = 0 to 6.
#
# Source     https://bitbucket.org/desika/narayanan_attenuation_laws/
#            file median_curve_redshifts.dat, at commit cc78a26.
# Retrieved  2026-09-07
# Paper      D. Narayanan, C. Conroy, R. Dave, B. D. Johnson and G. Popping,
#            "A Theory for the Variation of Dust Attenuation Laws in Galaxies",
#            ApJ, 869, 70 (2018). arXiv:1805.06905.
#            https://doi.org/10.3847/1538-4357/aaed25
#            These are the best-fit median attenuation curves of the paper's
#            Figure 9, from the 25 Mpc MUFASA cosmological hydrodynamic
#            simulation post-processed with dust radiative transfer.
#
# Repackaged, with attribution: every 5th row of the upstream file, verbatim
# and at full precision (917 of its 4585 rows). The upstream file repeats three
# abscissae near x = 5.93 to 5.98, where two overlapping segments were joined
# with a 1 to 3 percent step; the stride skips the repeat, so x here is
# strictly decreasing.
#
# Columns    x  z0  z1  z2  z3  z4  z5  z6
#   x        inverse wavelength 1 / lambda [1/micron], 9.9502 down to 1.0091,
#            that is lambda = 1005 to 9910 Angstrom.
#   zN       median A(lambda) at redshift N [dimensionless], on the paper's
#            normalization by the 3000 Angstrom optical depth tau_3000
#            (Section 5.1). Measured on these columns: the seven curves pass
#            through unity to within 1.2 percent at 3000 Angstrom (0.9929 to
#            1.0120) and their spread across z is smallest there. They are not
#            on A_V = 1, which is why the Kriek and Conroy (2013) fit in
#            scripts/fit_narayanan2018_medians.py carries a free normalization.
#
# x z0 z1 z2 z3 z4 z5 z6
9.950248756218906 2.7802552144606167 2.053575617194454 3.171953842529823 3.1204743160793744 2.880543583035067 1.813632957276183 1.8264644788835134
9.47867298578199 2.6766900384315195 1.984795847780253 2.9627491014001475 2.884135898611451 2.6915891952558155 1.729941391324237 1.7384823498923936
9.049773755656108 2.5763612693851217 1.9259262423108032 2.7786949265175203 2.688723633326407 2.526851527593805 1.6656253276158028 1.6720476008555294
8.65800865800866 2.479947367317989 1.8735207230786868 2.616063968768481 2.5244516793280907 2.3822483190614987 1.6138990572698488 1.619583930652252
8.298755186721992 2.3878416642307467 1.8254029948364399 2.471839527068336 2.3842077352951865 2.254602272540609 1.5702856732137909 1.5760830424866106
7.968127490039843 2.3002593838420813 1.7802463231652612 2.3435747491551164 2.2627664064886686 2.1414260325850125 1.531863526567862 1.5382674375001948
7.662835249042147 2.2173118514420116 1.7373057046605032 2.229288224634668 2.1562541628181586 2.0407710119250715 1.4967744522796456 1.5040433040767984
7.38007380073801 2.1390604724430284 1.696249564007363 2.127387966833549 2.061781168132465 1.9511219856506854 1.4639023645057498 1.4721422133725468
7.117437722419931 2.0655590937667645 1.6570590559080385 2.0366186323439552 1.9771860012956026 1.8713261169604363 1.4326656656314605 1.4418888596574968
6.910850034554249 2.007548103161208 1.6257507104151614 1.9682700522893952 1.9125684830887253 1.8112934177843305 1.4075520128281462 1.4175721489402555
6.688963210702341 1.9455347674906731 1.5921484159963986 1.8984340182917832 1.8449439217507102 1.7500545712429558 1.3802147156811546 1.391095299053133
6.514657980456027 1.8974914595407122 1.5663520498206487 1.8467256315394245 1.7931181530248201 1.7048525176984748 1.3587962713912782 1.3703537060345885
6.309148264984227 1.8423897072970472 1.5377439230225907 1.7902780769371962 1.7336186951388783 1.6558119553800266 1.3343459256852215 1.346716301710354
6.116207951070337 1.7933218806595732 1.5144497833448616 1.7431351003255902 1.6796710265797163 1.6154083987652323 1.3134554137813206 1.3266422451751727
5.9630292188431735 1.7573804182124724 1.5003388798146264 1.7111898482176555 1.6385874943123113 1.5887276708645748 1.2997306741115806 1.3136539391896893
5.899705014749263 1.6945948224642973 1.4507543098803621 1.6511559833447298 1.605609602290404 1.5519140644809621 1.2811408232754957 1.290605876313596
5.730659025787965 1.6865950208690639 1.442651581533919 1.640803028461528 1.6000306706525187 1.5497053483541439 1.27650223823678 1.285930243418683
5.571030640668525 1.689729707999774 1.4386698858000138 1.6397882987796017 1.6045002697906763 1.5572185861767929 1.2750198520627885 1.2846956505899843
5.420054200542006 1.7069548153508969 1.4390932460646204 1.650665674953026 1.621962539560022 1.5772578983602799 1.2774276143530636 1.287783214954895
5.277044854881267 1.7421524766756955 1.4440022029509947 1.6769108892782458 1.6564510877568757 1.6135547464740956 1.2846688515894804 1.2963742556037983
5.141388174807198 1.7995593601270559 1.4529278060844073 1.7225616713369145 1.7127492261278152 1.6703164237191959 1.297688450206987 1.3117694046627282
5.012531328320803 1.8815116702101342 1.4643639477118011 1.790435892354723 1.7944608915553466 1.750231534113926 1.316788943249709 1.3346973645892333
4.88997555012225 1.9827537298356082 1.475328674521272 1.877143909599743 1.8983439312475014 1.8491663132740552 1.3402309640788521 1.3636057545030973
4.796163069544366 2.0637161750636306 1.4808537333773055 1.948466317050401 1.984507888279299 1.9294427823458826 1.3584778429397781 1.3869083545021865
4.683840749414521 2.1317248186737956 1.4797791676655483 2.0100719410337566 2.061391228435312 1.9999141192759857 1.3728180402260948 1.4064426133712746
4.576659038901602 2.125580273941705 1.4668675819711856 2.005520395446667 2.062003671328086 2.0008791728677098 1.3693432993053039 1.4041333962376739
4.4742729306487705 2.0382208314389696 1.4419154753992376 1.9272783135990257 1.9770785638349997 1.9245818641730343 1.3461337512692673 1.377273856149717
