code,id,logmstar,logmstar_lo,logmstar_hi,logsfr,logsfr_lo,logsfr_hi,mass_definition_note,sfr_timescale_note
BAGPIPES,21,9.83481654160954,9.69846968930542,9.906800047974796,0.43878258465362213,0.3395483390802257,0.5622022784913868,survived stellar mass,instantaneous
BAGPIPES,25,9.657405282981774,9.601814856463657,9.713790907286343,0.14320035586098828,0.04787705295165484,0.20743984548474012,survived stellar mass,instantaneous
BAGPIPES,40,10.201162855768954,10.068852975356332,10.280942620040694,1.299908851200652,1.2168419402856319,1.4370080004021408,survived stellar mass,instantaneous
BAGPIPES,58,9.940375664958852,9.839579306269815,10.028138004426584,1.3082036758689266,1.2000186906567867,1.4069655323032613,survived stellar mass,instantaneous
BAGPIPES,79,10.79001518512891,10.698504665003073,10.892885022356404,1.7313027477691498,1.6441395643365262,1.8702419074160364,survived stellar mass,instantaneous
BAGPIPES,143,9.497610442061797,9.350395895712689,9.596695835323619,0.3992470485665407,0.3046625044844875,0.5635665567427124,survived stellar mass,instantaneous
BAGPIPES,170,9.318333367360673,9.192140065514742,9.392925373287737,-0.07896081188192161,-0.16181134385025897,0.05118037138136268,survived stellar mass,instantaneous
BAGPIPES,190,9.587539470764352,9.45837219099337,9.689246711376086,0.5193657817197075,0.38624524717531755,0.7180103002311248,survived stellar mass,instantaneous
BAGPIPES,239,9.417302575774189,9.327020464269538,9.471589224104436,-0.014089076457020244,-0.0765969233994896,0.06879039353745735,survived stellar mass,instantaneous
BAGPIPES,267,9.971263040686953,9.88546100246262,10.05139412331964,1.2189962086022432,1.0737852074882879,1.343166826881725,survived stellar mass,instantaneous
BAGPIPES,274,10.022220654104416,9.915630767996472,10.119961776483754,0.9127122679409779,0.8185823684259196,1.0354980951889947,survived stellar mass,instantaneous
BAGPIPES,300,10.0734278932286,9.952782291114492,10.176418596350675,0.9252682366442184,0.8340536506746247,1.0510770898993782,survived stellar mass,instantaneous
BAGPIPES,344,9.50108630345153,9.398593177627662,9.606387515848516,0.2538982388109963,0.16617607686537528,0.3862636202526716,survived stellar mass,instantaneous
BAGPIPES,407,9.5108015640685,9.433843677410117,9.60730412363219,-6.487184441979878,-27.14294037831965,-1.5793381093389594,survived stellar mass,instantaneous
BAGPIPES,482,10.341662926726736,10.216259488320043,10.426271394315853,1.0624299112619142,0.9748360272620431,1.2151430612827927,survived stellar mass,instantaneous
BAGPIPES,499,10.06711191358049,10.001290789349794,10.149636634088344,-11.597971615300494,-38.73426847497043,-3.092532483923924,survived stellar mass,instantaneous
BAGPIPES,513,9.813879378563025,9.73947328595903,9.883043769513083,1.0632076723855188,0.94637207044654,1.1623758072207968,survived stellar mass,instantaneous
BAGPIPES,528,11.016330835506967,10.982998254265206,11.049646960474071,-0.713852945631246,-5.731328188028403,0.8393631866852749,survived stellar mass,instantaneous
BAGPIPES,533,9.203536262836632,9.078991776088598,9.301042354447157,0.13936484799765317,0.021987151504525605,0.32462171013307883,survived stellar mass,instantaneous
BAGPIPES,570,8.978418590725852,8.874817354394274,9.063498388360863,0.3936060519226883,0.29856104603150035,0.5096684761874496,survived stellar mass,instantaneous
BAGPIPES,601,9.406048325542589,9.298109568734976,9.492065413364227,0.17580794861991927,0.09291687291915791,0.3298399921085498,survived stellar mass,instantaneous
BAGPIPES,744,9.981905515275297,9.884631820498397,10.056577280186216,1.09089204849512,0.9801214184463474,1.2166291318005114,survived stellar mass,instantaneous
BAGPIPES,797,10.396255915470359,10.296404020352991,10.490841875970533,1.1569936253914939,1.0672787355885676,1.3097497015858606,survived stellar mass,instantaneous
BAGPIPES,931,9.620605736621268,9.466217781033382,9.699295379826383,0.349814610040356,0.23929807389635235,0.5335296542414142,survived stellar mass,instantaneous
BAGPIPES,952,9.156231132264628,9.053269345943,9.24019234345644,0.2926386870883847,0.18948710204360508,0.4281121549952619,survived stellar mass,instantaneous
BAGPIPES,994,9.666503265109984,9.603124896634897,9.719108141929793,1.3800018236882492,1.3089168892862733,1.4521967190918157,survived stellar mass,instantaneous
BAGPIPES,1025,9.695447372296767,9.56501182694314,9.817126787631306,0.5255054994763778,0.4055991371274563,0.7613239596065211,survived stellar mass,instantaneous
BAGPIPES,1205,9.014388249492402,8.894869278666071,9.104699222726783,0.06845596380607474,-0.05883332243038486,0.210703727422702,survived stellar mass,instantaneous
BAGPIPES,1256,11.02119317846735,10.967251868303656,11.06043395332942,-1.6350639121639923,-10.246521332713192,0.34892254181983823,survived stellar mass,instantaneous
BAGPIPES,1603,9.161126158025787,9.04956369574068,9.245958457416428,0.6244509838622787,0.5467126536899073,0.7407364581139367,survived stellar mass,instantaneous
BAGPIPES,1609,9.059719259216457,9.004148696266482,9.12418147375119,0.4380097404549556,0.322204207321862,0.5375414642971025,survived stellar mass,instantaneous
BAGPIPES,1695,9.08809854360877,9.000839601596867,9.156968987197024,0.49752082851532664,0.3752548240872547,0.6629437489535281,survived stellar mass,instantaneous
BAGPIPES,1772,9.483897769705392,9.431312746034664,9.518503825396092,-0.04307022258942673,-0.9757960681954262,0.35451662167013476,survived stellar mass,instantaneous
BAGPIPES,1826,8.750197258123737,8.697681968279888,8.801868750260876,0.8086976078830668,0.7386074942783767,0.8699608016402935,survived stellar mass,instantaneous
BAGPIPES,1848,10.335682688033296,10.250099918998627,10.439063744497027,1.7137748283240928,1.5725705512796513,1.855555187371789,survived stellar mass,instantaneous
BAGPIPES,1851,10.832335375101454,10.752774902557624,10.895668403251493,0.20327616988422106,-2.1732403557398055,0.5254574990513714,survived stellar mass,instantaneous
